Pexels — https://www.pexels.com/license/
사진가 표기는 감사(필수 아님). 아래는 다운로드 시점 메타데이터입니다.

img1.jpg — Denys Gromov — https://www.pexels.com/@jdgromov — https://www.pexels.com/photo/a-person-in-white-shirt-preparing-food-4669244/
img2.jpg — Victor Freitas — https://www.pexels.com/@victorfreitas — https://www.pexels.com/photo/close-up-photography-of-clear-glass-cup-with-latte-and-tablespoon-832820/
img3.jpg — Atakan Tok — https://www.pexels.com/@atakan-tok-479640700 — https://www.pexels.com/photo/gourmet-mushroom-burger-with-fries-on-plate-28647010/
img4.jpg — Novkov Visuals — https://www.pexels.com/@novkov-visuals — https://www.pexels.com/photo/fresh-and-colorful-vegetable-salad-in-a-bowl-34618719/
img5.jpg — Willians Huerta — https://www.pexels.com/@willians-huerta-2157111846 — https://www.pexels.com/photo/delicious-spaghetti-with-seafood-and-olives-36430301/
img6.jpg — Shameel mukkath — https://www.pexels.com/@shameel-mukkath-3421394 — https://www.pexels.com/photo/assorted-sushi-on-a-ceramic-tray-10296404/
img7.jpg — Mohamed  Olwy — https://www.pexels.com/@mohamed-olwy-2158880271 — https://www.pexels.com/photo/traditional-turkish-breakfast-spread-on-table-36630848/
img8.jpg — Dovinda Rd — https://www.pexels.com/@dovinda-rd-993674313 — https://www.pexels.com/photo/delicious-chocolate-and-vanilla-layer-cake-with-strawberry-31336127/
img9.jpg — cottonbro studio — https://www.pexels.com/@cottonbro — https://www.pexels.com/photo/newspaper-gold-clip-and-a-notepad-on-a-green-surface-7596907/
img10.jpg — Владимир Николаевич — https://www.pexels.com/@94973479 — https://www.pexels.com/photo/city-skyline-during-night-time-9410009/
